2025-09-28T14:29:23.246194600 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T14:30:40.890518800 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T14:47:38.589444900 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T14:47:50.680774 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T14:48:20.724816 | 0:0:0:0:0:0:0:1 | POST | /categories
2025-09-28T14:48:55.786415800 | 0:0:0:0:0:0:0:1 | PUT | /categories/5
2025-09-28T14:49:07.207404700 | 0:0:0:0:0:0:0:1 | PUT | /categories/5/deactivate
2025-09-28T14:49:10.872797200 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T14:49:16.018396300 | 0:0:0:0:0:0:0:1 | PUT | /categories/5
2025-09-28T14:49:18.700567300 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T14:49:58.541070800 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T14:50:40.130379800 | 0:0:0:0:0:0:0:1 | POST | /products
2025-09-28T14:50:47.244816500 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T14:51:40.808498 | 0:0:0:0:0:0:0:1 | PUT | /products/8
2025-09-28T14:51:57.124091 | 0:0:0:0:0:0:0:1 | PUT | /products/7
2025-09-28T14:52:10.125934300 | 0:0:0:0:0:0:0:1 | PUT | /products/7/deactivate
2025-09-28T14:52:14.008700100 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T14:52:18.215640600 | 0:0:0:0:0:0:0:1 | PUT | /products/7
2025-09-28T14:52:22.964189600 | 0:0:0:0:0:0:0:1 | PUT | /products/7/deactivate
2025-09-28T14:52:27.173213400 | 0:0:0:0:0:0:0:1 | PUT | /products/7
2025-09-28T14:53:11.023874700 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T14:53:24.828577400 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T14:55:15.531019100 | 0:0:0:0:0:0:0:1 | POST | /users
2025-09-28T14:55:58.743367600 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T14:57:30.332457500 | 0:0:0:0:0:0:0:1 | PUT | /users/5
2025-09-28T14:57:54.145203 | 0:0:0:0:0:0:0:1 | PUT | /users/stepha.castellanos
2025-09-28T14:58:00.472141900 | 0:0:0:0:0:0:0:1 | PUT | /users/steph.castellanos
2025-09-28T15:12:10.356465100 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:12:33.668709400 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T15:12:47.566547100 | 0:0:0:0:0:0:0:1 | PUT | /users/3
2025-09-28T15:13:05.381597100 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:13:21.046011500 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:20:50.252693100 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:20:52.544490300 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:21:13.794346400 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:22:52.010425300 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:23:10.092397600 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:23:41.031888400 | 0:0:0:0:0:0:0:1 | PUT | /users/3
2025-09-28T15:23:45.614477 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:24:08.772172 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:24:33.213934 | 0:0:0:0:0:0:0:1 | PUT | /users/3/deactivate
2025-09-28T15:24:36.635978400 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T15:31:28.585829100 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:31:33.711704100 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T15:32:08.748986200 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:33:07.359055700 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:42:08.081300300 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:42:25.045196400 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:42:59.438973500 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:43:19.589216700 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T15:43:39.095703200 | 0:0:0:0:0:0:0:1 | PUT | /users/3
2025-09-28T16:08:34.865594200 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T16:08:51.902045800 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:09:03.703863500 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T16:09:35.055157800 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T16:09:47.696549500 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T16:09:54.514714500 | 0:0:0:0:0:0:0:1 | POST | /users
2025-09-28T16:09:58.324650500 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T16:10:10.784938 | 0:0:0:0:0:0:0:1 | PUT | /users/4
2025-09-28T16:10:18.531676200 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T16:10:34.287685400 | 0:0:0:0:0:0:0:1 | PUT | /users/4/deactivate
2025-09-28T16:10:40.215974700 | 0:0:0:0:0:0:0:1 | GET | /users
2025-09-28T16:10:58.175721600 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T16:11:07.684174800 | 0:0:0:0:0:0:0:1 | PUT | /users/4
